director_name,full_urls
David Lynch,imdb.com/name/nm0000186/?ref_=sr_t_1
Wong Kar-wai,imdb.com/name/nm0939182/?ref_=sr_t_1
Terrence Malick,imdb.com/name/nm0000517/?ref_=sr_t_1
Edward Yang,imdb.com/name/nm0945981/?ref_=sr_t_1
Jean-Luc Godard,imdb.com/name/nm0000419/?ref_=sr_t_1
Mohammad Rasoulof,imdb.com/name/nm1488024/?ref_=sr_t_1
Abbas Kiarostami,imdb.com/name/nm0452102/?ref_=sr_t_1
Johnnie To,imdb.com/name/nm0864775/?ref_=sr_t_1
Carlos Saura,imdb.com/name/nm0767022/?ref_=sr_t_1
Michel Gondry,imdb.com/name/nm0327273/?ref_=sr_t_1
Apichatpong Weerasethakul,imdb.com/name/nm0917405/?ref_=sr_t_1
Hayao Miyazaki,imdb.com/name/nm0594503/?ref_=sr_t_1
Joshua Oppenheimer,imdb.com/name/nm1484791/?ref_=sr_t_1
Wes Anderson,imdb.com/name/nm0027572/?ref_=sr_t_1
Jia Zhangke,imdb.com/name/nm0422605/?ref_=sr_t_1
Gus Van Sant,imdb.com/name/nm0001814/?ref_=sr_t_1
Kathryn Bigelow,imdb.com/name/nm0000941/?ref_=sr_t_1
David Cronenberg,imdb.com/name/nm0000343/?ref_=sr_t_1
Sarah Polley,imdb.com/name/nm0001631/?ref_=sr_t_1
Martin Campbell,imdb.com/name/nm0132709/?ref_=sr_t_1
Miguel Gomes,imdb.com/name/nm0326937/?ref_=sr_t_1
Pablo Berger,imdb.com/name/nm0074311/?ref_=sr_t_1
Courtney Hunt,imdb.com/name/nm2581581/?ref_=sr_t_1
Robert Altman,imdb.com/name/nm0000265/?ref_=sr_t_1
Christopher Nolan,imdb.com/name/nm0634240/?ref_=sr_t_1
Guillermo Del Toro,imdb.com/name/nm0868219/?ref_=sr_t_1
Michael Haneke,imdb.com/name/nm0359734/?ref_=sr_t_1
Werner Herzog,imdb.com/name/nm0001348/?ref_=sr_t_1
